,Anthony,Kory,Matthew,beau,Patrick,michael,Erik,Spencer,blake,Jarrod,Terry,Chase
QB,25.02,33.56,6.36,33.4,10.44,27.32,12.4,20.56,12.92,10.06,21.8,31.72
WR1,8.1,10.8,12.6,3.8,22.3,27.1,17.3,5.6,11.8,10.9,3.1,13.38
WR2,14.4,4.9,3.9,7.2,10.3,0.0,10.6,12.1,12.2,11.7,19.6,9.1
WR3,,,,,,,,,,,,
RB1,20.4,20.2,37.9,25.0,15.9,21.0,23.8,5.0,12.8,2.7,8.5,10.6
RB2,22.7,3.7,10.0,7.2,9.4,10.7,36.4,3.2,4.4,2.6,28.4,15.5
TE,9.4,7.9,12.2,3.2,4.7,10.3,22.1,5.0,5.6,23.1,8.0,11.7
W/R/T,42.3,12.8,8.6,25.4,24.7,6.6,4.7,19.6,11.0,22.7,8.9,13.7
BN1,0.0,5.3,3.8,14.8,8.4,0.0,3.7,22.62,7.9,9.7,17.1,3.7
BN2,0.0,4.7,6.6,1.4,12.3,2.8,11.7,20.8,16.6,0.0,6.5,21.3
BN3,1.8,2.7,19.3,9.8,0.0,25.64,1.2,1.3,7.2,8.0,10.9,10.74
BN4,4.5,15.5,1.1,6.6,20.0,0.0,4.9,17.3,31.4,0.0,8.2,0.0
BN5,0.0,14.32,21.8,2.4,5.5,3.4,6.5,1.7,0.4,9.0,10.5,0.0
BN6,5.3,9.6,6.1,0.5,7.3,0.3,19.5,2.0,11.3,10.5,1.2,2.0
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,6.0,5.0,3.0,4.0,11.0,12.0,4.0,15.0,16.0,15.0,17.0,11.0
DEF,13.0,0.0,0.0,7.0,7.0,-4.0,1.0,9.0,10.0,12.0,9.0,16.0
