,Anthony,Kory,Matthew,beau,Patrick,michael,Erik,Spencer,blake,Jarrod,Terry,Chase
QB,Carson Wentz,Lamar Jackson,Jameis Winston,Dak Prescott,Daniel Jones,Patrick Mahomes,Baker Mayfield,Matt Ryan,Russell Wilson,Josh Allen,Philip Rivers,Deshaun Watson
WR1,Sammy Watkins,JuJu Smith-Schuster,Robert Woods,Mike Evans,Keenan Allen,DeAndre Hopkins,Odell Beckham Jr.,Davante Adams,Adam Thielen,Tyler Lockett,Calvin Ridley,DJ Moore
WR2,Cooper Kupp,Marquise Brown,Marvin Jones Jr.,Marquez Valdes-Scantling,Tyler Boyd,Mecole Hardman,Michael Thomas,Julio Jones,Kenny Golladay,Paul Richardson Jr.,Alshon Jeffery,Larry Fitzgerald
WR3,,,,,,,,,,,,
RB1,Alvin Kamara,Darrel Williams,Christian McCaffrey,Kerryon Johnson,Leonard Fournette,Chris Carson,Josh Jacobs,David Montgomery,Ezekiel Elliott,David Johnson,Derrick Henry,Todd Gurley II
RB2,Mark Ingram II,Adrian Peterson,Nick Chubb,Dalvin Cook,Rex Burkhead,James White,Austin Ekeler,Miles Sanders,Aaron Jones,Joe Mixon,Jamaal Williams,Nyheim Hines
TE,Vernon Davis,Zach Ertz,Austin Hooper,O.J. Howard,Delanie Walker,Travis Kelce,T.J. Hockenson,Eric Ebron,Greg Olsen,Darren Waller,Jason Witten,Kyle Rudolph
W/R/T,James Conner,Curtis Samuel,Phillip Lindsay,Marlon Mack,Christian Kirk,Demarcus Robinson,Wayne Gallman Jr.,Amari Cooper,Sterling Shepard,Evan Engram,DK Metcalf,Allen Robinson II
BN1,George Kittle,Sony Michel,John Brown,Brandin Cooks,Kareem Hunt,Frank Gore,Matthew Stafford,Vance McDonald,Chris Thompson,Terry McLaurin,Tarik Cohen,Damien Williams
BN2,Antonio Brown,Chris Godwin,Michael Gallup,Josh Gordon,Saquon Barkley,John Ross III,Tyrell Williams,Kyler Murray,Duke Johnson,Carlos Hyde,Emmanuel Sanders,Julian Edelman
BN3,Darrell Henderson Jr.,Will Dissly,Mike Williams,LeSean McCoy,Peyton Barber,Tevin Coleman,Stefon Diggs,Mark Andrews,Aaron Rodgers,Melvin Gordon III,Tyreek Hill,David Njoku
BN4,Ito Smith,Le'Veon Bell,Robby Anderson,Darwin Thompson,Phillip Dorsett II,A.J. Green,Alexander Mattison,Jamison Crowder,Will Fuller V,Rashaad Penny,Hunter Henry,Ben Roethlisberger
BN5,Malcolm Brown,Matt Breida,Royce Freeman,Latavius Murray,Devin Singletary,Tom Brady,Golden Tate,Kalen Ballage,DeSean Jackson,Courtland Sutton,Nelson Agholor,Trey Burton
BN6,Justice Hill,DJ Chark Jr.,Jaylen Samuels,Kenyan Drake,T.Y. Hilton,Jay Ajayi,Ronald Jones II,Houston,Tony Pollard,Devonta Freeman,Jared Goff,Los Angeles
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,Mason Crosby,Brett Maher,Jason Myers,Ka'imi Fairbairn,Matt Prater,Zane Gonzalez,Joey Slye,Greg Zuerlein,Stephen Gostkowski,Wil Lutz,Harrison Butker,Justin Tucker
DEF,Baltimore,Seattle,Cleveland,Indianapolis,Green Bay,Jacksonville,Pittsburgh,Chicago,New England,Denver,Los Angeles,Minnesota
