,Anthony,Kory,Matthew,beau,Patrick,michael,Erik,Spencer,blake,Jarrod,Terry,Chase
QB,Carson Wentz,Lamar Jackson,Cam Newton,Dak Prescott,Jared Goff,Patrick Mahomes,Baker Mayfield,Matt Ryan,Aaron Rodgers,Jameis Winston,Drew Brees,Deshaun Watson
WR1,Cooper Kupp,JuJu Smith-Schuster,Robert Woods,Mike Evans,Keenan Allen,DeAndre Hopkins,Michael Thomas,Davante Adams,Adam Thielen,Tyler Lockett,Tyreek Hill,Julian Edelman
WR2,Calvin Ridley,Brandin Cooks,Mike Williams,Marquez Valdes-Scantling,Tyler Boyd,Corey Davis,Odell Beckham Jr.,Julio Jones,Kenny Golladay,Dede Westbrook,Alshon Jeffery,DJ Moore
WR3,,,,,,,,,,,,
RB1,Alvin Kamara,Le'Veon Bell,Christian McCaffrey,Dalvin Cook,Saquon Barkley,Chris Carson,Josh Jacobs,David Montgomery,Ezekiel Elliott,Joe Mixon,James Conner,Todd Gurley II
RB2,Mark Ingram II,Matt Breida,Nick Chubb,Kerryon Johnson,Leonard Fournette,James White,Austin Ekeler,Miles Sanders,Aaron Jones,Devonta Freeman,Derrick Henry,Damien Williams
TE,George Kittle,Zach Ertz,Austin Hooper,O.J. Howard,Jared Cook,Travis Kelce,T.J. Hockenson,Vance McDonald,Greg Olsen,Evan Engram,Hunter Henry,David Njoku
W/R/T,Sammy Watkins,Chris Godwin,Phillip Lindsay,Marlon Mack,T.Y. Hilton,Tevin Coleman,Stefon Diggs,Amari Cooper,Duke Johnson,David Johnson,Tarik Cohen,Allen Robinson II
BN1,Antonio Brown,Derrius Guice,Robby Anderson,Josh Gordon,Christian Kirk,A.J. Green,Kenyan Drake,Kyler Murray,Will Fuller V,Jarvis Landry,Emmanuel Sanders,Nyheim Hines
BN2,Darrell Henderson Jr.,Curtis Samuel,Royce Freeman,Sony Michel,Devin Singletary,Dion Lewis,Latavius Murray,Mark Andrews,Russell Wilson,Melvin Gordon III,Jordan Howard,Larry Fitzgerald
BN3,Rashaad Penny,Justice Hill,Michael Gallup,LeSean McCoy,Kareem Hunt,Tom Brady,Dante Pettis,Eric Ebron,Sterling Shepard,Marvin Jones Jr.,DK Metcalf,Ben Roethlisberger
BN4,Ito Smith,Courtland Sutton,Jaylen Samuels,Justin Jackson,Delanie Walker,Golden Tate,Alexander Mattison,Jamison Crowder,DeSean Jackson,Adrian Peterson,Mohamed Sanu,Trey Burton
BN5,Geronimo Allison,Kirk Cousins,John Brown,Tony Pollard,Peyton Barber,Noah Fant,Cole Beasley,Kalen Ballage,Ty Montgomery,Carlos Hyde,Jimmy Graham,Kyle Rudolph
BN6,Dare Ogunbowale,Tre'Quan Smith,James Washington,Chase Edmonds,Giovani Bernard,Jalen Richard,Tyrell Williams,Houston,Chris Thompson,Darren Waller,Marquise Goodwin,Los Angeles
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,Jake Elliott,Brett Maher,Jason Myers,Ka'imi Fairbairn,Matt Prater,Robbie Gould,Mason Crosby,Greg Zuerlein,Stephen Gostkowski,Wil Lutz,Harrison Butker,Justin Tucker
DEF,Baltimore,Denver,Cleveland,Detroit,New Orleans,Jacksonville,Philadelphia,Chicago,New England,Seattle,Los Angeles,Minnesota
