,Anthony,Kory,Matthew,beau,Patrick,michael,Erik,Spencer,blake,Jarrod,Terry,Chase
QB,Carson Wentz,Lamar Jackson,Jameis Winston,Dak Prescott,Daniel Jones,Patrick Mahomes,Baker Mayfield,Matt Ryan,Russell Wilson,Jacoby Brissett,Philip Rivers,Deshaun Watson
WR1,Cooper Kupp,Chris Godwin,Robert Woods,Mike Evans,Keenan Allen,DeAndre Hopkins,Odell Beckham Jr.,Julio Jones,Adam Thielen,Tyler Lockett,Calvin Ridley,DJ Moore
WR2,Sammy Watkins,Michael Thomas,Mike Williams,Brandin Cooks,Tyler Boyd,Demarcus Robinson,Stefon Diggs,Jamison Crowder,Sterling Shepard,Courtland Sutton,Alshon Jeffery,Larry Fitzgerald
WR3,,,,,,,,,,,,
RB1,Alvin Kamara,Le'Veon Bell,Christian McCaffrey,Dalvin Cook,Leonard Fournette,Chris Carson,Austin Ekeler,David Montgomery,Ezekiel Elliott,David Johnson,Derrick Henry,Todd Gurley II
RB2,Mark Ingram II,Matt Breida,Nick Chubb,Marlon Mack,Peyton Barber,James White,Wayne Gallman Jr.,Miles Sanders,Aaron Jones,Joe Mixon,Tarik Cohen,Jordan Howard
TE,George Kittle,Will Dissly,Austin Hooper,O.J. Howard,Delanie Walker,Travis Kelce,Zach Ertz,Mark Andrews,Greg Olsen,Evan Engram,Jimmy Graham,Kyle Rudolph
W/R/T,James Conner,DJ Chark Jr.,Phillip Lindsay,Josh Gordon,T.Y. Hilton,Frank Gore,JuJu Smith-Schuster,Amari Cooper,Chris Thompson,Devonta Freeman,Emmanuel Sanders,Allen Robinson II
BN1,Antonio Brown,Sony Michel,John Brown,LeSean McCoy,Devin Singletary,Tevin Coleman,T.J. Hockenson,Eric Ebron,Kenny Golladay,Melvin Gordon III,Jamaal Williams,Damien Williams
BN2,Ito Smith,Darrel Williams,Marvin Jones Jr.,Kerryon Johnson,Rex Burkhead,A.J. Green,Josh Jacobs,Davante Adams,Duke Johnson,Darren Waller,Tyreek Hill,Nyheim Hines
BN3,Malcolm Brown,Curtis Samuel,Michael Gallup,Marquez Valdes-Scantling,Christian Kirk,Tom Brady,Tyrell Williams,Vance McDonald,Aaron Rodgers,Terry McLaurin,Mohamed Sanu,Julian Edelman
BN4,Justice Hill,Marquise Brown,Robby Anderson,Latavius Murray,Kareem Hunt,Jay Ajayi,Alexander Mattison,Kyler Murray,Will Fuller V,Carlos Hyde,A.J. Brown,Jarvis Landry
BN5,Gus Edwards,Raheem Mostert,Royce Freeman,Kenyan Drake,Saquon Barkley,Chris Herndon,Golden Tate,Kalen Ballage,DeSean Jackson,Rashaad Penny,Hunter Henry,Los Angeles
BN6,Mecole Hardman,Seattle,Jaylen Samuels,Jordan Wilkins,Phillip Dorsett II,Cole Beasley,Ronald Jones II,Houston,Tony Pollard,Matthew Stafford,Green Bay,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,Mason Crosby,Brett Maher,Jason Myers,Mike Nugent,Robbie Gould,Matt Gay,Joey Slye,Greg Zuerlein,Josh Lambo,Wil Lutz,Harrison Butker,Justin Tucker
DEF,Baltimore,Philadelphia,New Orleans,Buffalo,Tennessee,Jacksonville,Carolina,Chicago,New England,San Francisco,Los Angeles,Minnesota
