,Anthony,Kory,Matthew,beau,Patrick,michael,Erik,Spencer,blake,Jarrod,Terry,Chase
QB,Carson Wentz,Lamar Jackson,Jameis Winston,Dak Prescott,Jared Goff,Patrick Mahomes,Baker Mayfield,Matt Ryan,Russell Wilson,Josh Allen,Philip Rivers,Deshaun Watson
WR1,Sammy Watkins,JuJu Smith-Schuster,Robert Woods,Mike Evans,Keenan Allen,DeAndre Hopkins,Odell Beckham Jr.,Davante Adams,Adam Thielen,Tyler Lockett,Emmanuel Sanders,Julian Edelman
WR2,Cooper Kupp,Chris Godwin,John Brown,Josh Gordon,Tyler Boyd,John Ross III,Michael Thomas,Julio Jones,Kenny Golladay,Terry McLaurin,Calvin Ridley,DJ Moore
WR3,,,,,,,,,,,,
RB1,Alvin Kamara,Le'Veon Bell,Christian McCaffrey,Kerryon Johnson,Saquon Barkley,Chris Carson,Josh Jacobs,David Montgomery,Ezekiel Elliott,Devonta Freeman,Derrick Henry,Todd Gurley II
RB2,Mark Ingram II,Sony Michel,Nick Chubb,Dalvin Cook,Leonard Fournette,Frank Gore,Austin Ekeler,Miles Sanders,Aaron Jones,Carlos Hyde,Tarik Cohen,Damien Williams
TE,George Kittle,Zach Ertz,Austin Hooper,O.J. Howard,Delanie Walker,Travis Kelce,T.J. Hockenson,Vance McDonald,Greg Olsen,Evan Engram,Jason Witten,Kyle Rudolph
W/R/T,James Conner,Marquise Brown,Phillip Lindsay,Marlon Mack,T.Y. Hilton,Demarcus Robinson,Stefon Diggs,Amari Cooper,Duke Johnson,David Johnson,DK Metcalf,Allen Robinson II
BN1,Antonio Brown,Matt Breida,Cam Newton,Brandin Cooks,Jared Cook,James White,Tyrell Williams,Kyler Murray,Aaron Rodgers,Jarvis Landry,Alshon Jeffery,David Njoku
BN2,Darrell Henderson Jr.,Curtis Samuel,Michael Gallup,Marquez Valdes-Scantling,Christian Kirk,Mecole Hardman,Kenyan Drake,Mark Andrews,Chris Thompson,Melvin Gordon III,Drew Brees,Nyheim Hines
BN3,Ito Smith,Rashaad Penny,Mike Williams,LeSean McCoy,Devin Singletary,Tevin Coleman,Latavius Murray,Eric Ebron,Will Fuller V,Joe Mixon,Tyreek Hill,Larry Fitzgerald
BN4,Malcolm Brown,Will Dissly,Robby Anderson,Justin Jackson,Kareem Hunt,A.J. Green,Alexander Mattison,Jamison Crowder,Sterling Shepard,Adrian Peterson,Hunter Henry,Ben Roethlisberger
BN5,Justice Hill,Darrel Williams,Royce Freeman,Raheem Mostert,Peyton Barber,Tom Brady,Golden Tate,Kalen Ballage,DeSean Jackson,Darren Waller,Randall Cobb,Trey Burton
BN6,Baltimore,Courtland Sutton,Jaylen Samuels,Darwin Thompson,Giovani Bernard,Jacksonville,Jordan Howard,Houston,Ty Montgomery,DJ Chark Jr.,Jamaal Williams,Los Angeles
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,Jake Elliott,Brett Maher,Jason Myers,Ka'imi Fairbairn,Matt Prater,Robbie Gould,Joey Slye,Greg Zuerlein,Stephen Gostkowski,Wil Lutz,Harrison Butker,Justin Tucker
DEF,Arizona,Seattle,Cleveland,Dallas,Green Bay,Tennessee,San Francisco,Chicago,New England,Buffalo,Los Angeles,Minnesota
